,city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6,-73.97,55.0,85,100,3.65,US,1603247716
1,Norman Wells,65.28,-126.83,23.0,85,90,16.11,CA,1603247906
2,Geraldton,-28.77,114.6,69.8,60,75,17.22,AU,1603247779
3,Carbonia,39.17,8.52,66.2,77,20,16.11,IT,1603247907
4,Bathsheba,13.22,-59.52,82.4,78,40,8.05,BB,1603247907
5,Tigil',57.8,158.67,39.88,72,16,9.89,RU,1603247907
6,Chokurdakh,70.63,147.92,8.89,96,61,4.79,RU,1603247703
7,Ndélé,8.41,20.65,71.11,88,100,2.17,CF,1603247907
8,Torbay,47.67,-52.73,59.0,93,75,19.46,CA,1603247907
9,Avera,33.19,-82.53,68.0,94,1,4.7,US,1603247317
10,Cape Town,-33.93,18.42,51.01,81,0,3.36,ZA,1603247534
11,Severo-Kuril'sk,50.68,156.12,42.48,65,62,30.38,RU,1603247538
12,Hermanus,-34.42,19.23,51.01,85,0,3.0,ZA,1603247224
13,Guadalupe y Calvo,26.1,-106.97,54.03,90,0,4.99,MX,1603247908
14,Rikitea,-23.12,-134.97,73.92,76,28,9.62,PF,1603247453
15,Jamestown,42.1,-79.24,48.99,100,90,5.82,US,1603247521
16,Poum,-20.23,164.02,75.79,67,1,1.72,NC,1603247561
17,Saskylakh,71.92,114.08,19.78,97,91,8.52,RU,1603247307
18,Castro,-24.79,-50.01,62.1,91,41,5.55,BR,1603247462
19,Atbasar,51.8,68.33,46.29,47,100,7.65,KZ,1603247909
20,Bredasdorp,-34.53,20.04,41.0,93,0,2.24,ZA,1603247524
21,Tuktoyaktuk,69.45,-133.04,23.0,92,90,17.22,CA,1603247309
22,Mogadishu,2.04,45.34,78.82,82,40,10.94,SO,1603247294
23,Cuamba,-14.8,36.54,73.17,53,10,5.32,MZ,1603247910
24,Ponta do Sol,32.67,-17.1,68.0,64,20,8.05,PT,1603247539
25,Santa Inês,-3.67,-45.38,77.09,79,26,6.33,BR,1603247910
26,Gävle,60.67,17.14,43.0,98,100,1.99,SE,1603247911
27,New Norfolk,-42.78,147.06,68.0,53,97,1.01,AU,1603247527
28,Port Elizabeth,-33.92,25.57,50.0,87,7,2.24,ZA,1603247265
29,Ishigaki,24.34,124.16,80.6,94,75,20.8,JP,1603247911
30,Pisco,-13.7,-76.22,64.0,82,3,12.75,PE,1603247577
31,Denpasar,-8.65,115.22,84.2,79,40,12.75,ID,1603247911
32,Yar-Sale,66.83,70.83,25.41,98,100,4.03,RU,1603247740
33,Bluff,-46.6,168.33,57.0,60,50,11.99,NZ,1603247231
34,West Bay,19.37,-81.42,81.0,83,20,4.7,KY,1603247814
35,Ilulissat,69.22,-51.1,33.8,95,100,9.17,GL,1603247560
